species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
964,354947,6,1.5625,3,47,1,171,17885.5375,2,68.4375,0.2553191489361702,-137.89273823877065
964,354947,7,70.56,3,61,3,183,11404.578802777778,-1,95.44,-0.2459016393442623,32.3399148907104
964,466306,7,75.68999999999998,3,61,3,183,11404.578802777778,-1,63.31000000000002,-0.2459016393442623,32.3399148907104
964,466315,7,1.9599999999999997,3,61,3,183,11404.578802777778,-3,-1.9599999999999997,-0.2459016393442623,32.3399148907104
316,139908,1,9.0,2,55,9,227,16311.395625,2,3.0,0.21818181818181817,18.470190656565716
316,139908,2,12.25,2,54,11,239,17327.256111111114,-6,-3.25,-0.5370370370370371,-22.93919238683133
316,139908,3,9.610000000000001,2,52,5,210,16088.539722222222,0,-0.6100000000000012,-0.25,-3.3830288461538376
316,139908,4,9.610000000000001,2,49,5,197,15912.622222222222,1,-0.6100000000000012,-0.42857142857142855,21.180385487528355
316,139908,5,9.610000000000001,2,44,6,176,16950.46111111111,-6,-9.610000000000001,-0.11363636363636363,21.251736111111065
316,139917,1,9.0,2,55,9,227,16311.395625,2,0.0,0.21818181818181817,18.470190656565716
316,139917,2,9.0,2,54,11,239,17327.256111111114,-11,-9.0,-0.5370370370370371,-22.93919238683133
316,139962,1,1.0,2,55,9,227,16311.395625,2,0.0,0.21818181818181817,18.470190656565716
316,139962,2,1.0,2,54,11,239,17327.256111111114,-11,-1.0,-0.5370370370370371,-22.93919238683133
316,139972,1,4.0,2,55,9,227,16311.395625,2,0.0,0.21818181818181817,18.470190656565716
316,139972,2,4.0,2,54,11,239,17327.256111111114,-6,2.0,-0.5370370370370371,-22.93919238683133
316,139972,3,6.760000000000001,2,52,5,210,16088.539722222222,0,0.23999999999999932,-0.25,-3.3830288461538376
316,139972,4,7.290000000000001,2,49,5,197,15912.622222222222,1,-0.2900000000000009,-0.42857142857142855,21.180385487528355
316,139972,5,7.290000000000001,2,44,6,176,16950.46111111111,-6,-7.290000000000001,-0.11363636363636363,21.251736111111065
316,139973,1,1.0,2,55,9,227,16311.395625,2,0.0,0.21818181818181817,18.470190656565716
316,139973,2,1.0,2,54,11,239,17327.256111111114,-11,-1.0,-0.5370370370370371,-22.93919238683133
316,139985,1,16.0,2,55,9,227,16311.395625,2,4.0,0.21818181818181817,18.470190656565716
316,139985,2,20.25,2,54,11,239,17327.256111111114,-6,4.75,-0.5370370370370371,-22.93919238683133
316,139985,3,25.0,2,52,5,210,16088.539722222222,0,1.0,-0.25,-3.3830288461538376
316,139985,4,26.009999999999998,2,49,5,197,15912.622222222222,1,0.990000000000002,-0.42857142857142855,21.180385487528355
316,139985,5,27.040000000000003,2,44,6,176,16950.46111111111,-3,1.9599999999999973,-0.11363636363636363,21.251736111111065
316,139985,6,29.160000000000004,2,47,3,171,17885.5375,1,12.839999999999996,0.2553191489361702,-137.89273823877065
316,139985,7,42.25,2,61,4,183,11404.578802777778,2,-6.25,-0.2459016393442623,32.3399148907104
316,140058,1,25.0,2,55,9,227,16311.395625,2,8.0,0.21818181818181817,18.470190656565716
316,140058,2,33.64,2,54,11,239,17327.256111111114,-11,-33.64,-0.5370370370370371,-22.93919238683133
