species,TreeID,census,e,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
966,7627,1,4277.160000000001,65,1,227,13964.123489583333,0,91.83999999999924,0.4461538461538462,2.477039738833096
316,215161,1,2.25,65,10,227,13964.123489583333,2,-0.25,0.4461538461538462,2.477039738833096
316,215161,2,2.25,66,12,256,14125.131072607484,-2,1.75,-0.5454545454545454,-81.79549943349588
316,215161,3,4.840000000000001,62,10,220,8726.628109996756,0,1.1599999999999993,0.0,18.74162368163783
316,215161,4,6.25,57,10,220,9888.608778258302,0,-0.25,-0.3508771929824561,17.38744156083269
316,215161,5,6.760000000000001,55,10,200,10879.692947225765,-1,0.23999999999999932,-0.32727272727272727,-29.051496837644365
316,215161,6,7.839999999999999,49,9,182,9281.860621155325,-1,1.160000000000001,-0.3673469387755102,17.139881403217576
316,215161,7,9.0,48,8,164,10121.714809912986,1,0.0,0.0,6.200039770095107
316,215206,1,25.0,65,10,227,13964.123489583333,2,6.0,0.4461538461538462,2.477039738833096
316,215206,2,31.359999999999996,66,12,256,14125.131072607484,-2,-19.359999999999996,-0.5454545454545454,-81.79549943349588
316,215206,3,12.25,62,10,220,8726.628109996756,0,2.75,0.0,18.74162368163783
316,215206,4,15.602500000000001,57,10,220,9888.608778258302,0,0.3974999999999991,-0.3508771929824561,17.38744156083269
316,215206,5,16.81,55,10,200,10879.692947225765,-10,-16.81,-0.32727272727272727,-29.051496837644365
316,215221,1,1.0,65,10,227,13964.123489583333,2,0.0,0.4461538461538462,2.477039738833096
316,215221,2,1.0,66,12,256,14125.131072607484,-2,2.0,-0.5454545454545454,-81.79549943349588
316,215221,3,3.61,62,10,220,8726.628109996756,0,0.3900000000000001,0.0,18.74162368163783
316,215221,4,4.0,57,10,220,9888.608778258302,0,0.0,-0.3508771929824561,17.38744156083269
316,215221,5,4.840000000000001,55,10,200,10879.692947225765,-1,1.1599999999999993,-0.32727272727272727,-29.051496837644365
316,215221,6,6.25,49,9,182,9281.860621155325,-1,0.75,-0.3673469387755102,17.139881403217576
316,215221,7,7.290000000000001,48,8,164,10121.714809912986,1,1.709999999999999,0.0,6.200039770095107
316,215239,1,4.0,65,10,227,13964.123489583333,2,0.0,0.4461538461538462,2.477039738833096
316,215239,2,4.0,66,12,256,14125.131072607484,-2,4.0,-0.5454545454545454,-81.79549943349588
316,215239,3,8.41,62,10,220,8726.628109996756,0,3.59,0.0,18.74162368163783
316,215239,4,12.25,57,10,220,9888.608778258302,0,3.75,-0.3508771929824561,17.38744156083269
316,215239,5,16.81,55,10,200,10879.692947225765,-1,-9.809999999999999,-0.32727272727272727,-29.051496837644365
316,215239,6,7.0225,49,9,182,9281.860621155325,-1,0.9775,-0.3673469387755102,17.139881403217576
316,215239,7,8.7025,48,8,164,10121.714809912986,1,2.2974999999999994,0.0,6.200039770095107
316,215244,1,4.0,65,10,227,13964.123489583333,2,0.0,0.4461538461538462,2.477039738833096
316,215244,2,4.0,66,12,256,14125.131072607484,-2,9.0,-0.5454545454545454,-81.79549943349588
316,215244,3,13.690000000000001,62,10,220,8726.628109996756,0,0.3099999999999987,0.0,18.74162368163783
316,215244,4,14.44,57,10,220,9888.608778258302,0,-0.4399999999999995,-0.3508771929824561,17.38744156083269
316,215244,5,14.44,55,10,200,10879.692947225765,-1,1.5600000000000005,-0.32727272727272727,-29.051496837644365
316,215244,6,16.81,49,9,182,9281.860621155325,-1,3.1900000000000013,-0.3673469387755102,17.139881403217576
316,215244,7,20.25,48,8,164,10121.714809912986,1,5.75,0.0,6.200039770095107
316,215249,1,20.25,65,10,227,13964.123489583333,2,-8.25,0.4461538461538462,2.477039738833096
316,215249,2,12.25,66,12,256,14125.131072607484,-2,0.75,-0.5454545454545454,-81.79549943349588
316,215249,3,13.3225,62,10,220,8726.628109996756,0,1.6775000000000002,0.0,18.74162368163783
316,215249,4,15.209999999999999,57,10,220,9888.608778258302,0,-0.20999999999999908,-0.3508771929824561,17.38744156083269
316,215249,5,15.602500000000001,55,10,200,10879.692947225765,-1,0.3974999999999991,-0.32727272727272727,-29.051496837644365
316,215249,6,16.81,49,9,182,9281.860621155325,-1,0.19000000000000128,-0.3673469387755102,17.139881403217576
316,215249,7,17.64,48,8,164,10121.714809912986,1,1.3599999999999994,0.0,6.200039770095107
316,215251,1,20.25,65,10,227,13964.123489583333,2,9.75,0.4461538461538462,2.477039738833096
316,215251,2,30.25,66,12,256,14125.131072607484,-2,6.75,-0.5454545454545454,-81.79549943349588
316,215251,3,37.209999999999994,62,10,220,8726.628109996756,0,5.790000000000006,0.0,18.74162368163783
316,215251,4,43.559999999999995,57,10,220,9888.608778258302,0,2.440000000000005,-0.3508771929824561,17.38744156083269
316,215251,5,46.239999999999995,55,10,200,10879.692947225765,-1,0.7600000000000051,-0.32727272727272727,-29.051496837644365
316,215251,6,47.61000000000001,49,9,182,9281.860621155325,-1,-0.6100000000000065,-0.3673469387755102,17.139881403217576
316,215251,7,47.61000000000001,48,8,164,10121.714809912986,1,1.3899999999999935,0.0,6.200039770095107
316,215276,1,6.25,65,10,227,13964.123489583333,2,-0.25,0.4461538461538462,2.477039738833096
316,215276,2,6.25,66,12,256,14125.131072607484,-12,-6.25,-0.5454545454545454,-81.79549943349588
